Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Drug,Explanation,Level
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Rheumatoid Arthritis,Malaria,Diabetes Mellitus,Epilepsy,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Easy
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Peptic Ulcer,Rheumatoid Arthritis,Anemia,Hepatitis B,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Moderate
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Hepatitis B,Anemia,Hypertension,Appendicitis,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Easy
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Urinary Tract Infection,Rheumatoid Arthritis,Hepatitis B,Hypothyroidism,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Moderate
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Urinary Tract Infection,Appendicitis,Measles,Diabetes Mellitus,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Moderate
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Anemia,Migraine,Dengue,Hypertension,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Moderate
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Hypertension,Pneumonia,Malaria,Chickenpox,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Hard
"Patient presents with recurrent unilateral throbbing headache, photophobia, nausea. What is the most likely disease?",Migraine,Urinary Tract Infection,Peptic Ulcer,Diabetes Mellitus,Migraine,Sumatriptan,Migraine presents with recurrent severe unilateral headache.,Moderate
"Patient presents with jaundice, dark urine, fatigue, abdominal pain. What is the most likely disease?",Hepatitis B,Hypothyroidism,Chickenpox,Tuberculosis,Hepatitis B,Tenofovir,Hepatitis B causes jaundice and liver inflammation.,Moderate
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Dengue,Hypertension,Diabetes Mellitus,Epilepsy,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Easy
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Malaria,Urinary Tract Infection,Dengue,Epilepsy,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Hard
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Migraine,Measles,Tuberculosis,COVID-19,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Easy
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Appendicitis,Tuberculosis,Measles,Hepatitis B,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Moderate
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Rheumatoid Arthritis,Hypothyroidism,Urinary Tract Infection,Peptic Ulcer,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Hard
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Rheumatoid Arthritis,Malaria,Urinary Tract Infection,Appendicitis,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Hypertension,Tuberculosis,Urinary Tract Infection,Chickenpox,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Easy
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Typhoid Fever,Chickenpox,COVID-19,Appendicitis,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Easy
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Urinary Tract Infection,Rheumatoid Arthritis,Hepatitis B,Hypothyroidism,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Moderate
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Measles,Malaria,Anemia,Diabetes Mellitus,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Moderate
"Patient presents with jaundice, dark urine, fatigue, abdominal pain. What is the most likely disease?",Epilepsy,Hepatitis B,Typhoid Fever,Pneumonia,Hepatitis B,Tenofovir,Hepatitis B causes jaundice and liver inflammation.,Easy
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Asthma,Pneumonia,Tuberculosis,Diabetes Mellitus,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Hard
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Rheumatoid Arthritis,Malaria,Hypothyroidism,Diabetes Mellitus,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Hard
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Peptic Ulcer,Epilepsy,Dengue,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Hard
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Peptic Ulcer,Urinary Tract Infection,Asthma,Hypertension,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Hard
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Anemia,Hypertension,COVID-19,Urinary Tract Infection,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Easy
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Peptic Ulcer,Rheumatoid Arthritis,Anemia,Hepatitis B,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Moderate
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Measles,Asthma,Tuberculosis,Urinary Tract Infection,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Typhoid Fever,Hepatitis B,Measles,Urinary Tract Infection,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Hepatitis B,Dengue,Malaria,Asthma,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Rheumatoid Arthritis,Anemia,Asthma,Chickenpox,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with epigastric pain, worse on empty stomach, relieved by food. What is the most likely disease?",Rheumatoid Arthritis,Measles,Urinary Tract Infection,Peptic Ulcer,Peptic Ulcer,Omeprazole,Peptic ulcer causes epigastric burning related to meals.,Moderate
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Peptic Ulcer,Urinary Tract Infection,Asthma,Hypertension,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Hard
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Hypertension,Pneumonia,Malaria,Chickenpox,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Hard
"Patient presents with epigastric pain, worse on empty stomach, relieved by food. What is the most likely disease?",Peptic Ulcer,Urinary Tract Infection,Dengue,Rheumatoid Arthritis,Peptic Ulcer,Omeprazole,Peptic ulcer causes epigastric burning related to meals.,Easy
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Hypertension,Typhoid Fever,Chickenpox,Diabetes Mellitus,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Easy
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Peptic Ulcer,Tuberculosis,Hypertension,Malaria,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Moderate
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Rheumatoid Arthritis,Diabetes Mellitus,Dengue,Urinary Tract Infection,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Hard
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Diabetes Mellitus,Urinary Tract Infection,Asthma,Dengue,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Typhoid Fever,Chickenpox,COVID-19,Appendicitis,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Easy
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Malaria,Hypertension,Appendicitis,COVID-19,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Rheumatoid Arthritis,Tuberculosis,Diabetes Mellitus,Hypothyroidism,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Easy
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Hypothyroidism,Asthma,Dengue,Chickenpox,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Hard
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Malaria,Chickenpox,Hypertension,Tuberculosis,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Hard
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Migraine,Tuberculosis,Asthma,Peptic Ulcer,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Easy
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Malaria,Urinary Tract Infection,Hypothyroidism,Hepatitis B,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with jaundice, dark urine, fatigue, abdominal pain. What is the most likely disease?",Epilepsy,Hepatitis B,Typhoid Fever,Pneumonia,Hepatitis B,Tenofovir,Hepatitis B causes jaundice and liver inflammation.,Easy
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Typhoid Fever,COVID-19,Asthma,Rheumatoid Arthritis,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Epilepsy,Measles,Chickenpox,Migraine,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Hard
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Chickenpox,Diabetes Mellitus,Malaria,Hepatitis B,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Hard
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Appendicitis,Chickenpox,Tuberculosis,Malaria,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Hard
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Hepatitis B,Rheumatoid Arthritis,Typhoid Fever,Hypertension,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Hard
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Pneumonia,Hepatitis B,Appendicitis,Measles,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Hard
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Peptic Ulcer,Anemia,Tuberculosis,Appendicitis,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Easy
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Asthma,Diabetes Mellitus,Appendicitis,Migraine,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Easy
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Asthma,Chickenpox,Tuberculosis,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Chickenpox,Epilepsy,Urinary Tract Infection,COVID-19,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Hard
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Measles,COVID-19,Pneumonia,Urinary Tract Infection,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Dengue,Hypothyroidism,Tuberculosis,Malaria,Dengue,Supportive care,Dengue is viral; management is supportive.,Hard
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Asthma,Diabetes Mellitus,Measles,Malaria,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Hard
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Peptic Ulcer,Rheumatoid Arthritis,Chickenpox,Tuberculosis,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Hard
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Asthma,Measles,Urinary Tract Infection,Tuberculosis,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Hard
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,COVID-19,Pneumonia,Measles,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Easy
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Migraine,Asthma,Diabetes Mellitus,Hypertension,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Hard
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Migraine,Rheumatoid Arthritis,Tuberculosis,Measles,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Easy
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Diabetes Mellitus,Hypertension,Dengue,Rheumatoid Arthritis,Dengue,Supportive care,Dengue is viral; management is supportive.,Hard
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Hypothyroidism,Hypertension,Rheumatoid Arthritis,Pneumonia,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Moderate
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Pneumonia,Epilepsy,COVID-19,Measles,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Moderate
"Patient presents with recurrent unilateral throbbing headache, photophobia, nausea. What is the most likely disease?",COVID-19,Urinary Tract Infection,Migraine,Tuberculosis,Migraine,Sumatriptan,Migraine presents with recurrent severe unilateral headache.,Easy
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Epilepsy,Rheumatoid Arthritis,Urinary Tract Infection,Dengue,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Measles,Migraine,Epilepsy,COVID-19,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Hard
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Asthma,Dengue,Chickenpox,Tuberculosis,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Easy
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Measles,Hypertension,Rheumatoid Arthritis,Pneumonia,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Hard
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Dengue,Rheumatoid Arthritis,Diabetes Mellitus,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Chickenpox,Typhoid Fever,Malaria,Dengue,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with recurrent unilateral throbbing headache, photophobia, nausea. What is the most likely disease?",Migraine,Urinary Tract Infection,Chickenpox,COVID-19,Migraine,Sumatriptan,Migraine presents with recurrent severe unilateral headache.,Moderate
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Measles,Tuberculosis,Pneumonia,Migraine,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Hard
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Rheumatoid Arthritis,Hypothyroidism,Measles,Tuberculosis,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Easy
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Pneumonia,Asthma,Migraine,Diabetes Mellitus,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Easy
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Pneumonia,Hypertension,Hypothyroidism,Tuberculosis,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Diabetes Mellitus,Malaria,Rheumatoid Arthritis,Dengue,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Dengue,Hypothyroidism,Tuberculosis,Malaria,Dengue,Supportive care,Dengue is viral; management is supportive.,Hard
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Dengue,Tuberculosis,COVID-19,Asthma,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Diabetes Mellitus,Peptic Ulcer,Hepatitis B,Epilepsy,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Dengue,Anemia,COVID-19,Hypertension,Dengue,Supportive care,Dengue is viral; management is supportive.,Moderate
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Dengue,Tuberculosis,COVID-19,Asthma,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",COVID-19,Migraine,Pneumonia,Epilepsy,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Easy
"Patient presents with epigastric pain, worse on empty stomach, relieved by food. What is the most likely disease?",Pneumonia,Hypertension,Epilepsy,Peptic Ulcer,Peptic Ulcer,Omeprazole,Peptic ulcer causes epigastric burning related to meals.,Easy
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Asthma,Diabetes Mellitus,Pneumonia,Dengue,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Moderate
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Rheumatoid Arthritis,Hypothyroidism,Measles,Tuberculosis,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Easy
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Peptic Ulcer,Tuberculosis,Pneumonia,Malaria,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Moderate
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Malaria,Hypertension,Appendicitis,COVID-19,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Moderate
"Patient presents with jaundice, dark urine, fatigue, abdominal pain. What is the most likely disease?",Peptic Ulcer,Rheumatoid Arthritis,Measles,Hepatitis B,Hepatitis B,Tenofovir,Hepatitis B causes jaundice and liver inflammation.,Easy
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Appendicitis,Hepatitis B,Rheumatoid Arthritis,Dengue,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Easy
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Chickenpox,Dengue,Peptic Ulcer,Migraine,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Easy
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Urinary Tract Infection,Epilepsy,Hypertension,Anemia,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Easy
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Malaria,Chickenpox,Peptic Ulcer,Hypothyroidism,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Hard
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Malaria,Appendicitis,Measles,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Easy
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Hepatitis B,Dengue,Malaria,Asthma,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Asthma,Peptic Ulcer,Hypertension,Migraine,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Hard
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Pneumonia,Typhoid Fever,Asthma,Epilepsy,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Hard
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Anemia,Migraine,Dengue,Hypertension,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Epilepsy,Measles,Chickenpox,Migraine,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Hard
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Epilepsy,Migraine,Malaria,Rheumatoid Arthritis,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Easy
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Dengue,Anemia,COVID-19,Hypertension,Dengue,Supportive care,Dengue is viral; management is supportive.,Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Dengue,Hypothyroidism,Pneumonia,Epilepsy,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with epigastric pain, worse on empty stomach, relieved by food. What is the most likely disease?",Rheumatoid Arthritis,Peptic Ulcer,Hepatitis B,Malaria,Peptic Ulcer,Omeprazole,Peptic ulcer causes epigastric burning related to meals.,Easy
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Diabetes Mellitus,Malaria,Rheumatoid Arthritis,Dengue,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Peptic Ulcer,Anemia,Tuberculosis,Appendicitis,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Easy
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Epilepsy,Asthma,Typhoid Fever,Dengue,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Hypertension,Rheumatoid Arthritis,Anemia,Tuberculosis,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Moderate
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Epilepsy,Peptic Ulcer,Measles,Urinary Tract Infection,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Hard
"Patient presents with jaundice, dark urine, fatigue, abdominal pain. What is the most likely disease?",Peptic Ulcer,Rheumatoid Arthritis,Measles,Hepatitis B,Hepatitis B,Tenofovir,Hepatitis B causes jaundice and liver inflammation.,Easy
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Urinary Tract Infection,Peptic Ulcer,COVID-19,Anemia,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Measles,Hepatitis B,Hypothyroidism,COVID-19,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Hard
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Rheumatoid Arthritis,Malaria,Urinary Tract Infection,Appendicitis,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Urinary Tract Infection,Anemia,Chickenpox,Rheumatoid Arthritis,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Easy
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Hypertension,Tuberculosis,Malaria,Typhoid Fever,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Moderate
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Migraine,Tuberculosis,Asthma,Peptic Ulcer,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Easy
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Urinary Tract Infection,COVID-19,Diabetes Mellitus,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Easy
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,COVID-19,Pneumonia,Measles,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Easy
